Hex,Term,Lab A,Lab B,lab L
#cfff52,yellowgreen,-40,75,95
#c2f431,yellowgreen,-40,80,90
#bde31d,yellowgreen,-35,80,85
#b8d300,yellowgreen,-30,80,80
#ffff91,yellow,-15,55,100
#ffff9b,yellow,-15,50,100
#ffff6f,yellow,-20,70,100
#fff655,yellow,-15,75,95
#fff647,yellow,-15,80,95
#fff536,yellow,-15,85,95
#fff500,yellow,-15,95,95
#fff384,yellow,-10,55,95
#fff379,yellow,-10,60,95
#fff362,yellow,-10,70,95
#fff355,yellow,-10,75,95
#fff347,yellow,-10,80,95
#fff337,yellow,-10,85,95
#fff199,yellow,-5,45,95
#fff184,yellow,-5,55,95
#fff51e,yellow,-15,90,95
#fff36e,yellow,-10,65,95
#fff18f,yellow,-5,50,95
#ffe254,yellow,-5,70,90
#ffe247,yellow,-5,75,90
#ffe238,yellow,-5,80,90
#ffe124,yellow,-5,85,90
#ffe100,yellow,-5,90,90
#ffe081,yellow,0,50,90
#ffdf77,yellow,0,55,90
#ffdf61,yellow,0,65,90
#ffdf55,yellow,0,70,90
#ffdf48,yellow,0,75,90
#ffdf39,yellow,0,80,90
#ffdf6c,yellow,0,60,90
#ffce54,yellow,5,65,85
#ffce48,yellow,5,70,85
#ffce3a,yellow,5,75,85
#ffcd28,yellow,5,80,85
#ffcd0b,yellow,5,85,85
#ffca48,yellow,10,70,85
#ffca3a,yellow,10,75,85
#ffca2a,yellow,10,80,85
#fef48e,yellow,-10,50,95
#fee261,yellow,-5,65,90
#fece5f,yellow,5,60,85
#fdf661,yellow,-15,70,95
#fcf498,yellow,-10,45,95
#fce400,yellow,-10,90,90
#fce26c,yellow,-5,60,90
#fcd107,yellow,0,85,85
#fcce6a,yellow,5,55,85
#fbf800,yellow,-20,95,95
#fbf66d,yellow,-15,65,95
#fbe423,yellow,-10,85,90
#fbd127,yellow,0,80,85
#fbbd13,yellow,10,80,80
#fbbc00,yellow,10,85,80
#faf679,yellow,-15,60,95
#faf81c,yellow,-20,90,95
#fae537,yellow,-10,80,90
#fae277,yellow,-5,55,90
#fad139,yellow,0,75,85
#f9f835,yellow,-20,85,95
#f9f4a3,yellow,-10,40,95
#f8e547,yellow,-10,75,90
#f8e381,yellow,-5,50,90
#f8d147,yellow,0,70,85
#f7f846,yellow,-20,80,95
#f7f683,yellow,-15,55,95
#f7e554,yellow,-10,70,90
#f7d153,yellow,0,65,85
#f6f854,yellow,-20,75,95
#f6d15f,yellow,0,60,85
#f5f78e,yellow,-15,50,95
#f5e560,yellow,-10,65,90
#f4f961,yellow,-20,70,95
#f4e56b,yellow,-10,60,90
#f4d403,yellow,-5,85,85
#f4d16a,yellow,0,55,85
#f4c000,yellow,5,85,80
#f3f798,yellow,-15,45,95
#f3e700,yellow,-15,90,90
#f3d426,yellow,-5,80,85
#f3c011,yellow,5,80,80
#f2fb00,yellow,-25,95,95
#f2f96d,yellow,-20,65,95
#f2e721,yellow,-15,85,90
#f2e576,yellow,-10,55,90
#f2c029,yellow,5,75,80
#f1fb1a,yellow,-25,90,95
#f1e736,yellow,-15,80,90
#f1d438,yellow,-5,75,85
#f1c039,yellow,5,70,80
#f0fb34,yellow,-25,85,95
#f0f978,yellow,-20,60,95
#f0f7a2,yellow,-15,40,95
#f0e746,yellow,-15,75,90
#f0e581,yellow,-10,50,90
#f0d446,yellow,-5,70,85
#f0c046,yellow,5,65,80
#efd453,yellow,-5,65,85
#eefb45,yellow,-25,80,95
#eef983,yellow,-20,55,95
#eee853,yellow,-15,70,90
#eec052,yellow,5,60,80
#edfb53,yellow,-25,75,95
#ede68b,yellow,-10,45,90
#edd45e,yellow,-5,60,85
#ecf98e,yellow,-20,50,95
#ece860,yellow,-15,65,90
#ecc300,yellow,0,85,80
#ebfb60,yellow,-25,70,95
#ebea00,yellow,-20,90,90
#ebe86b,yellow,-15,60,90
#ebd600,yellow,-10,85,85
#ebd469,yellow,-5,55,85
#ebc30e,yellow,0,80,80
#ead624,yellow,-10,80,85
#ead474,yellow,-5,50,85
#eac328,yellow,0,75,80
#e9fd00,yellow,-30,95,95
#e9fb6c,yellow,-25,65,95
#e9f998,yellow,-20,45,95
#e9ea1f,yellow,-20,85,90
#e9e876,yellow,-15,55,90
#e9d737,yellow,-10,75,85
#e9c338,yellow,0,70,80
#e8fd18,yellow,-30,90,95
#e8ea35,yellow,-20,80,90
#e8d746,yellow,-10,70,85
