Term,Lab A,Lab B,lab L
yellowgreen,-36.25,78.75,87.5
yellow,-13.605947955,70.055762082,87.137546468
white,-1,2.25,98
teal,-34.930875576,0.230414747,62.373271889
tan,1.656050955,38.471337580,74.904458599
salmon,42.129629630,31.944444444,63.333333333
red,59.249201278,37.603833866,44.696485623
purple,46.322478157,-36.330420969,40.841938046
pink,52.024608501,-7.908277405,64.323266219
peach,19.383561644,34.863013699,78.082191781
orange,33.464052288,59.297385621,64.477124183
olive,-13.064516129,44.274193548,51.048387097
offwhite,-10,16.25,98.75
navyblue,11.769911504,-26.814159292,12.699115044
mustard,-2.666666667,65.666666667,66.666666667
mauve,24.444444444,6.666666667,52.222222222
maroon,38.185840708,11.548672566,23.097345133
magenta,62.564102564,0.128205128,37.820512821
limegreen,-48.75,86.25,92.5
lightpink,10,-2.5,95
lightgreen,-31.593406593,32.197802198,92.692307692
lightblue,-14.770642202,-12.866972477,84.931192661
lavender,22.801724138,-27.672413793,73.060344828
grey,-1.685022026,2.312775330,59.416299559
green,-42.552950076,42.428139183,67.742057489
darkteal,-15,-10,20
darkpurple,20.892857143,-13.214285714,11.25
darkgreen,-19.403669725,16.146788991,21.513761468
cyan,-44.326923077,-8.942307692,87.115384615
cream,-12.5,35,100
brown,14.880112835,30.867418900,39.809590973
blue,15.582428430,-48.371174729,46.337611056
black,1.546762590,-0.539568345,9.136690647
beige,-5.461538462,26.307692308,90.923076923
