Hex,lab_L,lab_a,lab_b,frequency,entropy,term,score
#4e66b6,45,15,-45,398,-2.51812754839731,blue,0.6482412060301508
#ccabf0,75,25,-30,246,-3.2185584243801033,lavender,0.27235772357723576
#aedbf0,85,-10,-15,305,-2.932454073058774,lightblue,0.32786885245901637
#7e44ea,45,60,-75,452,-2.890597677513564,purple,0.4579646017699115
#2e30e7,35,60,-90,1015,-1.6415763393397411,blue,0.7635467980295566
#5cd6f4,80,-25,-25,645,-3.158999534148378,lightblue,0.22635658914728682
#6f8b72,55,-15,10,183,-3.255929585204397,grey,0.33879781420765026
#564500,30,0,40,105,-1.7094829755189742,brown,0.6761904761904762
#da239b,50,75,-20,593,-2.838474988721654,pink,0.342327150084317
#9b2ba1,40,60,-40,471,-1.887350787295277,purple,0.7112526539278131
#b43ddf,50,70,-60,529,-2.3280192919895857,purple,0.6068052930056711
#5e60bf,45,25,-50,331,-2.9592329736893834,blue,0.486404833836858
#6ccd7f,75,-45,30,378,-3.119388436194843,green,0.43915343915343913
#020015,0,5,-10,138,-1.7478565169067606,black,0.6666666666666666
#4cff2a,90,-80,80,892,-2.4625805508333816,green,0.4226457399103139
#0f1f5f,15,20,-40,323,-2.571073866148705,navyblue,0.29411764705882354
#00caef,75,-30,-30,666,-3.1851783430323426,blue,0.24924924924924924
#60d11c,75,-60,70,966,-2.3526251218910352,green,0.5786749482401656
#9b5942,45,25,25,155,-2.5586122796983535,brown,0.5806451612903226
#d37a41,60,30,45,207,-3.5477264724000444,orange,0.3188405797101449
#00cdd3,75,-40,-15,751,-3.419182700584953,blue,0.1877496671105193
#315eea,45,35,-75,672,-1.7346876616936548,blue,0.7574404761904762
#874e57,40,25,5,132,-3.974248681151112,purple,0.17424242424242425
#d4c95c,80,-10,55,232,-4.12395930108567,yellow,0.19827586206896552
#4e9257,55,-35,25,300,-2.6171077853852944,green,0.5866666666666667
#821f48,30,45,0,247,-3.682358572415672,purple,0.22267206477732793
#2b72e7,50,20,-65,700,-1.9195193894990807,blue,0.6957142857142857
#e8af39,75,10,65,295,-3.5511645567738555,orange,0.3050847457627119
#542cd6,35,60,-80,792,-2.651465074579977,blue,0.51010101010101
#d4d4d4,85,0,0,271,-3.019254448038506,grey,0.4870848708487085
#3bc185,70,-50,20,605,-3.3917922697884446,green,0.35537190082644626
#21281f,15,-5,5,123,-2.3449151676372244,black,0.5040650406504065
#accae2,80,-5,-15,314,-3.298824641289403,lightblue,0.27070063694267515
#cba815,70,0,70,358,-3.882143884536552,mustard,0.17597765363128492
#ed0e1c,50,75,55,667,-1.1612091350884248,red,0.8395802098950524
#e5f6dd,95,-10,10,187,-4.092717963971545,grey,0.13368983957219252
#c4fcf0,95,-20,0,257,-3.765863514422636,lightblue,0.2529182879377432
#ed4b04,55,60,65,379,-1.9200241900288983,orange,0.6147757255936676
#ba71ea,60,50,-50,308,-2.7589936981780934,purple,0.36363636363636365
#bc3f3b,45,50,30,229,-3.5363158858745507,red,0.43231441048034935
#34865c,50,-35,15,382,-3.039696921101899,green,0.4397905759162304
#73c3e6,75,-15,-25,481,-2.870938786081583,lightblue,0.28274428274428276
#8d7519,50,0,50,205,-3.2208094030052328,brown,0.4195121951219512
#604f43,35,5,10,128,-2.2045279327597003,brown,0.4453125
#002ea1,25,35,-65,480,-1.8047166503318608,blue,0.6770833333333334
#6eff4d,90,-70,70,650,-2.743160706223254,green,0.4169230769230769
#cc6820,55,35,55,310,-2.810759997896598,orange,0.45806451612903226
#3d84e3,55,10,-55,677,-2.184738262552727,blue,0.6011816838995568
#544437,30,5,10,117,-2.1092738802438173,brown,0.49572649572649574
#d50935,45,70,35,465,-2.370040083044831,red,0.632258064516129
#b2d097,80,-20,25,215,-3.6539240915443574,green,0.24186046511627907
#3bb502,65,-60,65,1081,-1.6048434498973003,green,0.7668825161887142
#003dae,30,30,-65,481,-1.5907088038717119,blue,0.7567567567567568
#a38f5c,60,0,30,177,-2.8306849886918144,brown,0.327683615819209
#6b62a5,45,20,-35,244,-3.4937999829927944,purple,0.3237704918032787
#3058fc,45,45,-85,600,-1.5373256226878163,blue,0.7883333333333333
#d24ec1,55,65,-35,375,-2.95450200049813,pink,0.2826666666666667
#d065e1,60,60,-45,335,-3.098523787661773,purple,0.3164179104477612
#9b1b5c,35,55,-5,329,-3.612507444763678,purple,0.2553191489361702
#dadc00,85,-20,85,524,-2.295136773978382,yellow,0.6545801526717557
#001d36,10,0,-20,138,-2.405436094203215,navyblue,0.39855072463768115
#265c42,35,-25,10,269,-3.0460296527199664,green,0.29739776951672864
#cd0085,45,75,-15,530,-2.933731864326082,pink,0.3
#c4f418,90,-40,85,463,-3.344127123434189,yellow,0.19870410367170627
#166d2a,40,-40,30,455,-1.8896020309246826,green,0.5494505494505495
#a39f7a,65,-5,20,188,-2.936883408476361,grey,0.4308510638297872
#1e0e76,15,40,-55,507,-2.8986306309223835,blue,0.33136094674556216
#39eec0,85,-55,10,744,-3.822668912430401,teal,0.16801075268817203
#27b378,65,-50,20,606,-3.0817065570074007,green,0.4389438943894389
#1ce0b2,80,-55,10,791,-3.7376280559309443,teal,0.19469026548672566
#e68dd9,70,45,-25,279,-2.72130222707428,pink,0.5053763440860215
#146c45,40,-35,15,355,-2.6646215663823054,green,0.428169014084507
#bff27f,90,-35,50,246,-3.557975158727252,lightgreen,0.24390243902439024
#7aed7b,85,-55,45,423,-2.9955984982381993,green,0.3735224586288416
#0098e8,60,-5,-50,654,-2.5512003011775026,blue,0.4877675840978593
#c425df,50,80,-60,692,-2.658386398671476,purple,0.5043352601156069
#ff0feb,60,95,-50,463,-2.853030362719073,pink,0.3412526997840173
#5eff92,90,-65,40,552,-3.392782087532825,green,0.3496376811594203
#8d734d,50,5,25,157,-1.9342494227960285,brown,0.6050955414012739
#703248,30,30,0,149,-3.5081511112848163,purple,0.2684563758389262
#fd2c3b,55,75,45,400,-1.9755034738232673,red,0.7075
#00a91f,60,-65,55,848,-1.2729078078771734,green,0.8231132075471698
#00d618,75,-75,70,1727,-2.043540565441201,green,0.6178343949044586
