term,rel_term,frequency,entropy,Hex,lab_L,lab_a,lab_b,prob
green,,323863,-10.38943875566446,#00a025,57,-61,50,0.0019205651772508745
blue,,297936,-10.412114308763,#0032f7,35,62,-99,0.002812684603404758
purple,,254289,-10.769934107837031,#7f169e,33,60,-50,0.0016280688507957482
red,,72067,-8.947043049633354,#db000c,45,74,56,0.00890837692702624
pink,,135741,-10.44132061092601,#ff8ac3,73,54,-8,0.001274485969603878
yellow,,45678,-8.630156541071333,#fff617,95,-17,91,0.00818774902578922
orange,,54553,-8.998472692661872,#fd7c00,66,44,74,0.0030429123971183985
brown,,77001,-10.29848802055227,#643b07,29,14,36,0.0022077635355384996
teal,,58757,-9.932777532599562,#008e83,53,-35,-3,0.0030294262811239514
lightblue,,61148,-10.030772895089921,#b0e8ff,89,-12,-18,0.0014718388172957416
grey,,53757,-9.979489466117792,#858380,55,0,2,0.003441412281191287
limegreen,,33345,-8.971118899659452,#96f900,89,-59,86,0.005638026690658269
magenta,,45192,-9.922282250036961,#b30062,38,68,-4,0.002588953797132236
lightgreen,,52321,-10.104063874936639,#b9ff9f,95,-41,41,0.0010512031497868924
brightgreen,,20220,-8.324292645377495,#08fc13,87,-85,81,0.01152324431256182
skyblue,,36608,-9.692544626210273,#86caff,79,-7,-34,0.0017755681818181818
cyan,,25538,-9.140180972245968,#14fbfc,90,-47,-14,0.007048320150364163
turquoise,,30143,-9.600150019732425,#00c1ab,70,-47,-1,0.0038483229937298874
darkblue,,24765,-9.551680967443724,#001b55,12,17,-38,0
darkgreen,,25190,-9.532015916939292,#002601,12,-23,17,0.0012306470821754664
aqua,,24383,-9.559968141889103,#06f5d2,87,-56,3,0.004183242422999631
olive,,30913,-10.13704956326515,#6d7516,47,-15,47,0.0025879079998706047
navyblue,,21669,-9.403833139590027,#001942,9,8,-30,0.003368867968064978
lavender,,31029,-10.401108949113459,#cdaaf2,75,26,-31,0.00215927035998582
fuchsia,,23718,-9.836705713031112,#cc0094,45,78,-24,0.003077831183067712
black,,13953,-8.668571807867698,#010500,1,-2,2,0.012040421414749517
royalblue,,16022,-9.189560469491836,#000494,16,51,-72,0.004119335913119461
violet,,34281,-10.893800262657372,#9327ef,44,75,-79,0.0016918993028208044
hotpink,,14869,-8.882856448062507,#ff0077,55,85,10,0.004169749142511265
tan,,24537,-10.01637631432831,#d3b572,75,2,38,0.003260382279822309
forestgreen,,20018,-9.540273057092554,#064019,23,-28,19,0.002897392346887801
lightpurple,,30950,-10.595778311881451,#c687ff,67,47,-52,0.0014862681744749597
neongreen,,8904,-7.882380063484303,#2efc00,87,-83,84,0.00977088948787062
yellowgreen,,17121,-9.43124258076071,#c6f335,90,-38,79,0.004614216459318965
maroon,,16740,-9.58566896572938,#630120,19,41,11,0.0036439665471923537
darkpurple,,17535,-9.984947646108447,#320a33,10,26,-17,0.002338180781294554
salmon,,15066,-9.601678195247846,#ff8573,69,45,31,0.0030532324439134476
peach,,12420,-9.298747488585633,#ffb983,81,21,38,0.004830917874396135
beige,,14680,-9.707911412535832,#e7daa3,87,-4,29,0.004223433242506812
lime,,12257,-9.266404378198418,#bdff25,94,-49,86,0.002284408909194746
seafoamgreen,,14733,-9.652228230902727,#99f6b7,90,-41,22,0.001968370325120478
mustard,,9108,-8.98276082403743,#caac0d,71,-3,72,0.006807202459376372
brightblue,,9044,-9.190136836952533,#004fff,42,49,-93,0.003648827952233525
lilac,,16358,-10.4204168724336,#cfaef3,76,25,-30,0.002078493703386722
seagreen,,12763,-9.832673445598411,#1bf59f,86,-67,28,0.003212410875186085
palegreen,,14123,-10.048252030804578,#cbfbb5,94,-28,29,0.0024074205197196063
bluegreen,,12032,-9.822819222929953,#006d66,41,-29,-4,0.0018284574468085107
mint,,11488,-9.58844297036759,#baffc3,95,-34,23,0.0018279944289693593
lightbrown,,12883,-9.976328586660452,#ae8357,58,11,30,0.0031824885508033845
mauve,,19947,-11.223202732437127,#a06f78,52,21,3,0.0012031884493908858
darkred,,6850,-8.71988582735656,#740006,22,47,31,0.0070072992700729924
greyblue,,11647,-9.98614923384448,#6a8b9c,56,-7,-13,0.0032626427406199023
burntorange,,7582,-8.973380009369809,#bc5303,48,39,57,0.006858348720654181
darkpink,,12452,-10.236832748713518,#c34567,48,53,8,0.0020077096048827497
indigo,,10837,-10.016752919322155,#330067,13,45,-48,0.0012918704438497739
periwinkle,,11376,-10.0574343361667,#8e8ef3,63,25,-51,0.0025492264416315047
bluegrey,,10418,-9.89693024642676,#657c8f,51,-4,-13,0.003263582261470532
lightpink,,8583,-9.49728474113678,#ffdae8,91,17,-1,0.004543865781195386
aquamarine,,8545,-9.57351259071148,#00d6b7,77,-51,3,0.0037448800468110007
gold,,6578,-8.914024494794887,#d3ad00,72,1,75,0.005320766190331408
brightpurple,,7373,-9.217397141721042,#c827ff,53,86,-74,0.0033907500339075
grassgreen,,7902,-9.497228356393306,#539d1e,58,-44,54,0.0029106555302455075
redorange,,4598,-8.276294450946388,#fb4d23,58,64,59,0.008046976946498478
