term,frequency,entropy,rel_term,rt_score,CHex,Clab_L,Clab_a,Clab_b,C Prob,RHex,Rlab_L,Rlab_a,Rlab_b,RC Prob
green,323863,-10.38943875566446,green,0.50888,#00a025,57,-61,50,0.8293333333333334,#009a20,55,-60,50,0.8293333333333334
blue,297936,-10.412114308763,blue,0.50774,#0032f7,35,62,-99,0.7673992673992674,#004aff,40,50,-95,0.8333333333333334
purple,254289,-10.769934107837031,purple,0.46846,#7f169e,33,60,-50,0.7723880597014925,#7e0096,30,65,-50,0.776536312849162
red,72067,-8.947043049633354,red,0.50466,#db000c,45,74,56,0.8480845442536328,#dc000f,45,75,55,0.8752436647173489
pink,135741,-10.44132061092601,pink,0.40626,#ff8ac3,73,54,-8,0.7723214285714286,#ff94cc,75,50,-10,0.8396946564885496
yellow,45678,-8.630156541071333,yellow,0.47347,#fff617,95,-17,91,0.9055690072639225,#fff500,95,-15,95,0.930327868852459
orange,54553,-8.998472692661872,orange,0.50539,#fd7c00,66,44,74,0.9325842696629213,#ff7300,65,50,75,0.9411764705882353
brown,77001,-10.29848802055227,brown,0.47771,#643b07,29,14,36,0.9340659340659341,#5b3100,25,15,40,0.941747572815534
teal,58757,-9.932777532599562,teal,0.16388,#008e83,53,-35,-3,0.3510848126232742,#00877e,50,-35,-5,0.3557422969187675
lightblue,61148,-10.030772895089921,lightblue,0.16795,#b0e8ff,89,-12,-18,0.3435114503816794,#b5eaff,90,-10,-20,0.3583815028901734
grey,53757,-9.979489466117792,grey,0.377,#858380,55,0,2,0.8371040723981901,#919191,60,0,0,0.8412017167381974
limegreen,33345,-8.971118899659452,limegreen,0.12847,#96f900,89,-59,86,0.2693409742120344,#96fc10,90,-60,85,0.2693409742120344
magenta,45192,-9.922282250036961,magenta,0.14178,#b30062,38,68,-4,0.2695852534562212,#bb0069,40,70,-5,0.2824858757062147
lightgreen,52321,-10.104063874936639,lightgreen,0.13219,#b9ff9f,95,-41,41,0.31976744186046513,#bbffa1,95,-40,40,0.31976744186046513
brightgreen,20220,-8.324292645377495,brightgreen,0.09168,#08fc13,87,-85,81,0.17571644042232276,#00f70c,85,-85,80,0.17571644042232276
skyblue,36608,-9.692544626210273,skyblue,0.12179,#86caff,79,-7,-34,0.24436090225563908,#8dccff,80,-5,-35,0.24786324786324787
cyan,25538,-9.140180972245968,cyan,0.11252,#14fbfc,90,-47,-14,0.25139664804469275,#00fdfd,90,-50,-15,0.2631578947368421
turquoise,30143,-9.600150019732425,turquoise,0.08822,#00c1ab,70,-47,-1,0.16022099447513813,#00c1b3,70,-45,-5,0.1639871382636656
darkblue,24765,-9.551680967443724,darkblue,0.12888,#001b55,12,17,-38,NaN,#00125a,10,25,-45,0.2773722627737226
darkgreen,25190,-9.532015916939292,darkgreen,0.17943,#002601,12,-23,17,0.4189189189189189,#002300,10,-25,20,0.43548387096774194
aqua,24383,-9.559968141889103,aqua,0.07329,#06f5d2,87,-56,3,0.12814070351758794,#3cfdd7,90,-55,5,0.13414634146341464
olive,30913,-10.13704956326515,olive,0.16692,#6d7516,47,-15,47,0.39603960396039606,#6a7000,45,-15,55,0.41228070175438597
navyblue,21669,-9.403833139590027,navyblue,0.169,#001942,9,8,-30,0.41714285714285715,#001c45,10,5,-30,0.43103448275862066
lavender,31029,-10.401108949113459,lavender,0.12099,#cdaaf2,75,26,-31,0.27235772357723576,#d5b9ff,80,25,-35,0.2733812949640288
fuchsia,23718,-9.836705713031112,fuchsia,0.07546,#cc0094,45,78,-24,0.13619402985074627,#d1008e,45,80,-20,0.14054054054054055
black,13953,-8.668571807867698,black,0.39978,#010500,1,-2,2,0.9032258064516129,#000000,0,0,0,0.9032258064516129
royalblue,16022,-9.189560469491836,royalblue,0.05698,#000494,16,51,-72,0.10801963993453355,#000096,15,55,-75,0.1160337552742616
