name,rgb
pastel blue,"(195, 237, 248)"
faint violet,"(176, 144, 133)"
baby blue,"(159, 203, 235)"
purple,"(148, 39, 201)"
blue,"(0, 0, 254)"
light blue,"(66, 180, 230)"
olive green,"(172, 172, 41)"
brown,"(131, 81, 48)"
pink,"(156, 122, 101)"
purple,"(148, 39, 201)"
purple,"(148, 39, 201)"
navy,"(151, 151, 140)"
green,"(65, 207, 72)"
black,"(0, 0, 0)"
green,"(65, 207, 72)"
navy blue,"(10, 24, 87)"
blue,"(0, 0, 254)"
lime green,"(2, 222, 0)"
red brown,"(142, 123, 121)"
orange,"(241, 186, 113)"
teal,"(13, 106, 113)"
blue,"(0, 0, 254)"
aubergine,"(159, 157, 153)"
dark tan,"(153, 151, 139)"
moss green,"(93, 105, 39)"
magenta,"(255, 0, 255)"
blue,"(0, 0, 254)"
goldenrod,"(178, 136, 35)"
purplish blue,"(78, 49, 166)"
gray,"(152, 152, 152)"
green,"(65, 207, 72)"
dark iron,"(131, 117, 108)"
wedgwood blue,"(118, 141, 170)"
mustard,"(242, 224, 200)"
red,"(137, 22, 14)"
pale green,"(214, 249, 169)"
cyan,"(46, 126, 121)"
carrot,"(237, 209, 191)"
purple,"(148, 39, 201)"
pale rose,"(168, 138, 139)"
dark green,"(1, 78, 0)"
cornflower blue,"(179, 178, 185)"
mud,"(140, 118, 77)"
light chocolate,"(203, 164, 133)"
blue,"(0, 0, 254)"
light purple,"(128, 80, 215)"
bright green,"(0, 168, 47)"
dark orange,"(153, 44, 6)"
blue,"(0, 0, 254)"
teal purple,"(34, 57, 114)"
mauve,"(96, 53, 87)"
pale green,"(214, 249, 169)"
moss green,"(93, 105, 39)"
navy,"(151, 151, 140)"
khaki,"(178, 168, 146)"
capslock purple,"(53, 35, 38)"
blue,"(0, 0, 254)"
violet,"(137, 106, 129)"
purple,"(148, 39, 201)"
magenta,"(255, 0, 255)"
mustard yellow,"(202, 140, 9)"
sea blue,"(119, 164, 216)"
khaki,"(178, 168, 146)"
fuchsia,"(139, 122, 130)"
pea green,"(194, 203, 110)"
forest green,"(45, 68, 30)"
tan,"(214, 188, 173)"
dark blue,"(2, 0, 102)"
agua,"(81, 115, 147)"
teal,"(13, 106, 113)"
aqua,"(102, 104, 112)"
pinkle,"(222, 110, 125)"
dark green,"(1, 78, 0)"
pale lime,"(228, 248, 203)"
light green,"(2, 255, 2)"
bright blue,"(19, 134, 251)"
purpink,"(149, 131, 133)"
hot pink,"(128, 79, 105)"
lighter green,"(15, 22, 18)"
brown,"(131, 81, 48)"
purple,"(148, 39, 201)"
red,"(137, 22, 14)"
green,"(65, 207, 72)"
green,"(65, 207, 72)"
bluish gray,"(198, 209, 206)"
blue?,"(0, 0, 254)"
blue,"(0, 0, 254)"
tealish green,"(27, 193, 194)"
sand,"(142, 118, 82)"
forest green,"(45, 68, 30)"
green,"(65, 207, 72)"
purple,"(148, 39, 201)"
red,"(137, 22, 14)"
goldish green,"(112, 85, 53)"
violet blue,"(136, 98, 85)"
pink,"(156, 122, 101)"
bright green,"(0, 168, 47)"
brown,"(123, 85, 55)"
green,"(65, 207, 72)"
blue,"(0, 0, 254)"
peach,"(165, 80, 51)"
green-blue-green,"(117, 129, 142)"
light green,"(2, 255, 2)"
dark blue,"(2, 0, 102)"
sky blue,"(111, 186, 222)"
green,"(65, 207, 72)"
deep blue,"(124, 121, 122)"
lime,"(228, 225, 166)"
parrot green,"(97, 189, 66)"
fuchsia,"(139, 122, 130)"
gray,"(152, 152, 152)"
pink,"(156, 122, 101)"
yellow orchre,"(229, 213, 183)"
lime,"(228, 225, 166)"
blue,"(0, 0, 254)"
lime green,"(2, 222, 0)"
purple,"(148, 39, 201)"
dirty green,"(114, 127, 53)"
dirty green,"(114, 127, 53)"
brown,"(123, 85, 55)"
pink,"(156, 122, 101)"
yellow-brown,"(174, 123, 37)"
purple,"(148, 39, 201)"
deep purple,"(105, 92, 86)"
dirty yellow,"(187, 157, 16)"
light purple,"(128, 80, 215)"
sea blue,"(119, 164, 216)"
navy blue,"(10, 24, 87)"
dark blue,"(2, 0, 102)"
orangered,"(220, 204, 197)"
blue,"(0, 0, 254)"
dark blue,"(2, 0, 102)"
sky blue,"(111, 186, 222)"
teal,"(13, 106, 113)"
light blue,"(66, 180, 230)"
light purple,"(128, 80, 215)"
blue,"(0, 0, 254)"
bright green,"(0, 168, 47)"
violet,"(137, 106, 129)"
green,"(65, 207, 72)"
aquamarine,"(208, 191, 177)"
green-yellow-green,"(122, 133, 108)"
blue,"(0, 0, 254)"
green,"(65, 207, 72)"
green,"(65, 207, 72)"
reddish orange,"(245, 141, 86)"
purple,"(148, 39, 201)"
pink,"(156, 122, 101)"
fuchsia,"(139, 122, 130)"
blue,"(0, 0, 254)"
green,"(65, 207, 72)"
teal,"(13, 106, 113)"
light green,"(2, 255, 2)"
indigo,"(77, 119, 167)"
green,"(65, 207, 72)"
parrot green,"(97, 189, 66)"
grass,"(40, 87, 15)"
purple,"(148, 39, 201)"
green,"(65, 207, 72)"
green,"(65, 207, 72)"
pink,"(156, 122, 101)"
blue,"(0, 0, 254)"
grass,"(40, 87, 15)"
reddishbrown,"(142, 123, 121)"
blue,"(0, 0, 254)"
purple,"(148, 39, 201)"
green,"(65, 207, 72)"
blue,"(0, 0, 254)"
orange,"(241, 186, 113)"
yellowish green,"(179, 216, 41)"
gray,"(152, 152, 152)"
turquoise,"(147, 194, 189)"
light green,"(2, 255, 2)"
green,"(65, 207, 72)"
blue green,"(222, 223, 222)"
pink,"(156, 122, 101)"
turquoise,"(147, 194, 189)"
deep blue,"(124, 121, 122)"
light purple,"(128, 80, 215)"
orange,"(241, 186, 113)"
purple,"(148, 39, 201)"
brown,"(123, 85, 55)"
light pink,"(248, 189, 209)"
blue,"(0, 0, 254)"
yellow,"(252, 219, 51)"
very light purple,"(245, 206, 251)"
blue,"(0, 0, 254)"
maroon,"(128, 0, 0)"
dark green,"(1, 78, 0)"
pink,"(156, 122, 101)"
blue,"(0, 0, 254)"
lime green,"(2, 222, 0)"
green,"(65, 207, 72)"
navy blue,"(10, 24, 87)"
brown,"(123, 85, 55)"
blue,"(0, 0, 254)"
dark blue,"(2, 0, 102)"
purple,"(148, 39, 201)"
brown,"(123, 85, 55)"
bright green,"(0, 168, 47)"
bright pink,"(255, 0, 126)"
greeen,"(102, 165, 18)"
dark pink,"(231, 84, 129)"
turqoiuse,"(140, 169, 162)"
light blue,"(66, 180, 230)"
green,"(65, 207, 72)"
light green,"(2, 255, 2)"
purple,"(148, 39, 201)"
blue,"(0, 0, 254)"
blue,"(0, 0, 254)"
light pink,"(248, 189, 209)"
green,"(65, 207, 72)"
orange,"(241, 186, 113)"
green,"(65, 207, 72)"
green,"(65, 207, 72)"
blue,"(0, 0, 254)"
ocean blue,"(94, 106, 105)"
red,"(137, 22, 14)"
blue,"(0, 0, 254)"
dark green,"(1, 78, 0)"
pink,"(156, 122, 101)"
