index,name,hex,L,C,H,a,b
0,FL10.0,#efebe8,93.27382767,2.092991107,66.98790314,0.818203524,1.926435768
1,FL10.0,#f5f1f0,95.41913297,1.501714439,39.43195357,1.159893398,0.953830992
2,FL10.0,#f9f8f7,97.6279728,0.615639113,75.31930384,0.156022678,0.595540461
3,FL10.0,#f0eae8,93.10083646,2.370594876,45.2663143,1.668454256,1.684036953
4,FL10.0,#f5f0ef,95.14619401,1.84185851,35.66882574,1.496327525,1.073986363
5,FL10.0,#faf5f4,96.88599793,1.834482655,35.66909789,1.490330293,1.069692586
6,FL10.0,#f5eddc,93.9472744,9.190985894,90.90381792,-0.1449781,9.189842385
7,FL10.0,#faf4e7,96.32578897,6.969965928,91.55905301,-0.189633609,6.967385746
8,FL10.0,#fefaf1,98.35008212,4.782684685,92.48956514,-0.207747566,4.778170544
9,FL10.0,#e9ebe0,92.62877687,5.718743086,116.9633665,-2.592996601,5.097096341
10,FL10.0,#f0f1e8,94.84940065,4.631040575,114.2439995,-1.901613455,4.222606195
11,FL10.0,#f7f7f0,97.05978852,3.571373324,109.9023588,-1.215760693,3.358069885
12,FL10.0,#ebebeb,93.04813707,1.68748E-05,NaN,-1.56678E-05,6.26713E-06
13,FL10.0,#f2f2f2,95.49356225,1.72532E-05,NaN,-1.60192E-05,6.40768E-06
14,FL10.0,#f9f9f9,97.92564999,1.76296E-05,NaN,-1.63686E-05,6.54745E-06
15,FL10.0,#dfe7e8,91.08274608,2.855539268,209.6787435,-2.480936113,-1.413881364
16,FL10.0,#e9f0f1,94.30989831,2.495306174,211.1462241,-2.135608004,-1.290632154
17,FL10.0,#f2f9f9,97.41710769,2.438092554,199.2516803,-2.301752836,-0.80388381
18,FL10.0,#f3ebf3,93.85843359,5.01604763,324.6235739,4.089915029,-2.904019436
19,FL10.0,#f7f1f6,95.72184476,3.337873212,329.5392865,2.877169824,-1.692126291
20,FL10.0,#fbf7fb,97.63036383,2.488965463,324.5304064,2.027072159,-1.444274052
21,FL10.0,#e2e6f0,91.25837238,5.336491263,275.4688486,0.508591884,-5.312200419
22,FL10.0,#e9edf5,93.66039599,4.323327743,271.7436712,0.131550674,-4.32132586
23,FL10.0,#f0f3fa,95.8007445,3.717013526,274.1905856,0.271618255,-3.707076082
24,FL10.0,#e6ecf0,93.06027952,2.915543458,244.3360372,-1.262699276,-2.627923933
25,FL10.0,#eef1f3,94.97476671,1.45782181,244.1066674,-0.636626564,-1.311469041
26,FL10.0,#f2f6f7,96.61715717,1.480855936,219.5250114,-1.14225355,-0.942438926
27,FL10.0,#ddebf0,92.16692523,5.447492163,227.4749227,-3.682029876,-4.014701341
28,FL10.0,#e7f1f5,94.52207053,3.999265131,230.1665435,-2.561762119,-3.07107415
29,FL10.0,#f0f7fa,96.79922276,2.850339238,231.8391344,-1.761143358,-2.241162164
30,FL10.0,#dfedeb,92.68674407,5.03001175,187.2143753,-4.990190276,-0.631679675
31,FL10.0,#e9f3f2,95.09144838,3.54084533,190.8344947,-3.477727144,-0.665582123
32,FL10.0,#f3faf9,97.73869031,2.500847243,187.4733932,-2.479603465,-0.325274632
33,FL10.0,#e8edda,92.92076094,9.952927621,119.9209827,-4.964571837,8.626343067
34,FL10.0,#eff3e3,95.16011778,8.328294836,119.4987426,-4.100889517,7.248668846
35,FL10.0,#f7faf0,97.80767485,5.213790119,121.5724688,-2.729818407,4.442037693
36,FL10.0,#f5ead7,93.08681918,10.56962228,86.80540919,0.589015917,10.5531974
37,FL10.0,#f6eee3,94.43563622,6.327492319,82.47129652,0.829046141,6.272945205
38,FL10.0,#faf5f0,96.78779965,3.097692739,74.92759625,0.805522356,2.991125881
39,FL10.0,#f9e9e0,93.36379622,7.43888898,58.10085893,3.930899429,6.315465061
40,FL10.0,#f9eee8,94.78738401,5.000286686,57.53047703,2.684408467,4.218627517
41,FL10.0,#f9f3ef,96.19278472,2.943699227,63.48047701,1.314369734,2.633969882
42,FL9.2,#ebd1d1,85.94038146,9.625470588,20.12838245,9.037584376,3.312363612
43,FL9.2,#f2e6e6,92.2138434,4.311865634,19.70806133,4.059289943,1.454080604
44,FL9.2,#faf2f2,96.09605272,2.837044189,19.59854525,2.672682785,0.951623067
45,FL9.2,#b5ead7,88.72048676,21.03381386,169.8539493,-20.70488526,3.70527353
46,FL9.2,#d3f2e7,93.0674631,12.29677531,171.0871712,-12.14829421,1.905158975
47,FL9.2,#f0fcf8,98.00259516,4.6795729,173.2624059,-4.647255223,0.549018593
48,FL9.2,#e3d7c3,86.44106595,11.37787597,85.84876235,0.823637531,11.34802551
49,FL9.2,#f3e6d3,91.84283015,10.91408801,83.15227072,1.301298721,10.83623268
50,FL9.2,#fcf4e8,96.50210591,6.757314386,84.40472567,0.658843657,6.725118791
51,FL9.2,#bee2e8,87.56470251,12.5056742,213.1957427,-10.46481066,-6.846869727
52,FL9.2,#d6f2f7,93.67334958,9.787616646,214.1218826,-8.102640791,-5.49041454
53,FL9.2,#eefcff,98.04033194,5.018605796,216.8906841,-4.013791947,-3.012619848
54,FL9.2,#f0d9b6,87.74198339,20.32744236,82.57941549,2.625327061,20.1571965
55,FL9.2,#fae7c8,92.41912524,17.52287569,84.61714345,1.643828456,17.44560118
56,FL9.2,#fbf2e2,95.79121555,8.797412496,87.66894816,0.357819858,8.790132625
57,FL9.2,#b7d2f2,83.21531279,18.80113843,263.579999,-2.102264971,-18.68323549
58,FL9.2,#d7e9ff,91.6594856,12.73321868,262.8582652,-1.58304809,-12.63442981
59,FL9.2,#ebf4ff,95.82343096,6.367975545,261.6726296,-0.922266798,-6.300836174
60,FL9.2,#ffe791,91.89038171,44.86705204,94.03008725,-3.153270169,44.75610847
61,FL9.2,#fff2bf,95.38264857,26.45667168,97.2632337,-3.344866488,26.24437739
62,FL9.2,#fff8de,97.49874066,13.46463727,98.15898897,-1.910907213,13.32834912
63,FL9.2,#c1d6e5,84.52826337,10.52213567,247.8384766,-3.969148854,-9.744803565
64,FL9.2,#d5e8f5,90.98514771,9.216060428,246.1904658,-3.720500943,-8.431704605
65,FL9.2,#ebf7ff,96.57565943,5.738961742,244.7615278,-2.447017284,-5.191125917
66,FL9.2,#e0d490,84.45768962,35.63535471,99.2342887,-5.718473484,35.17353503
67,FL9.2,#f5eaab,92.22065723,32.49400535,99.9296334,-5.603220017,32.00725401
68,FL9.2,#fff8d6,97.32935941,17.47173045,100.2903127,-3.121077621,17.19070212
69,FL9.2,#c3cdeb,82.51932915,16.14666065,279.4835379,2.660391987,-15.92598395
70,FL9.2,#e1e8fa,91.96328937,9.559444895,276.4374132,1.071784145,-9.499171829
71,FL9.2,#f0f3fa,95.8007445,3.717013526,274.1905856,0.271618255,-3.707076082
72,FL9.2,#dae5c1,89.29657102,19.08098577,121.1093047,-9.858618276,16.33681926
73,FL9.2,#eaedd3,92.91113489,13.40723466,113.8381658,-5.418596622,12.26347226
74,FL9.2,#f0fae8,97.11484536,9.879652799,130.67739,-6.439549578,7.492645772
75,FL9.2,#d3d1e8,84.62559987,12.14574104,294.4741737,5.031774432,-11.05442317
76,FL9.2,#e5e4f6,91.14296908,9.340275816,293.0372051,3.655118708,-8.595397579
77,FL9.2,#f3f2fa,95.77273167,4.11890681,295.3336624,1.762434735,-3.722796948
78,FL9.2,#cde5bc,88.27958726,23.09935211,131.2047964,-15.21675466,17.37902314
79,FL9.2,#dbf0cc,92.45970397,20.08675491,131.2701457,-13.24942696,15.09736427
80,FL9.2,#eaf7e1,95.76810507,12.21663598,131.800726,-8.142899955,9.107105739
81,FL9.2,#d8cedf,84.00192496,9.687470304,312.4079375,6.53327534,-7.152859163
82,FL9.2,#eee6f2,92.21253245,6.841018322,314.8730986,4.826604639,-4.848032522
83,FL9.2,#f4f0f5,95.22237885,2.940051287,318.9013949,2.215562073,-1.932662999
