C Prob,C Hex,saliency,DE center-related,R-C  prob,Clab L,Clab a,Clab b,Number of Records,RC Prob,R Hex,Rlab L,Rlab a,Rlab b,Entropy,Frequency,Rel Term,RT Score,Term
0.829333333,#00a025,10.389438756,2.236067977,0,57,-61,50,1,0.829333333,#009a20,55,-60,50,-10.389438756,323863,green,0.50888,green
0.767399267,#0032f7,10.412114309,13.601470509,0.065934066,35,62,-99,1,0.833333333,#004aff,40,50,-95,-10.412114309,297936,blue,0.50774,blue
0.772388060,#7f169e,10.769934108,5.830951895,0.004148253,33,60,-50,1,0.776536313,#7e0096,30,65,-50,-10.769934108,254289,purple,0.46846,purple
0.848084544,#db000c,8.947043050,1.414213562,0.027159120,45,74,56,1,0.875243665,#dc000f,45,75,55,-8.947043050,72067,red,0.50466,red
0.772321429,#ff8ac3,10.441320611,4.898979486,0.067373228,73,54,-8,1,0.839694656,#ff94cc,75,50,-10,-10.441320611,135741,pink,0.40626,pink
0.905569007,#fff617,8.630156541,4.472135955,0.024758862,95,-17,91,1,0.930327869,#fff500,95,-15,95,-8.630156541,45678,yellow,0.47347,yellow
0.932584270,#fd7c00,8.998472693,6.164414003,0.008592201,66,44,74,1,0.941176471,#ff7300,65,50,75,-8.998472693,54553,orange,0.50539,orange
0.934065934,#643b07,10.298488021,5.744562647,0.007681639,29,14,36,1,0.941747573,#5b3100,25,15,40,-10.298488021,77001,brown,0.47771,brown
0.351084813,#008e83,9.932777533,3.605551275,0.004657484,53,-35,-3,1,0.355742297,#00877e,50,-35,-5,-9.932777533,58757,teal,0.16388,teal
0.343511450,#b0e8ff,10.030772895,3,0.014870053,89,-12,-18,1,0.358381503,#b5eaff,90,-10,-20,-10.030772895,61148,lightblue,0.16795,lightblue
0.837104072,#858380,9.979489466,5.385164807,0.004097644,55,0,2,1,0.841201717,#919191,60,0,0,-9.979489466,53757,grey,0.377,grey
0.269340974,#96f900,8.971118900,1.732050808,0,89,-59,86,1,0.269340974,#96fc10,90,-60,85,-8.971118900,33345,limegreen,0.12847,limegreen
0.269585253,#b30062,9.922282250,3,0.012900622,38,68,-4,1,0.282485876,#bb0069,40,70,-5,-9.922282250,45192,magenta,0.14178,magenta
0.319767442,#b9ff9f,10.104063875,1.414213562,0,95,-41,41,1,0.319767442,#bbffa1,95,-40,40,-10.104063875,52321,lightgreen,0.13219,lightgreen
0.175716440,#08fc13,8.324292645,2.236067977,0,87,-85,81,1,0.175716440,#00f70c,85,-85,80,-8.324292645,20220,brightgreen,0.09168,brightgreen
0.244360902,#86caff,9.692544626,2.449489743,0.003502346,79,-7,-34,1,0.247863248,#8dccff,80,-5,-35,-9.692544626,36608,skyblue,0.12179,skyblue
0.251396648,#14fbfc,9.140180972,3.162277660,0.011761247,90,-47,-14,1,0.263157895,#00fdfd,90,-50,-15,-9.140180972,25538,cyan,0.11252,cyan
0.160220994,#00c1ab,9.600150020,4.472135955,0.003766144,70,-47,-1,1,0.163987138,#00c1b3,70,-45,-5,-9.600150020,30143,turquoise,0.08822,turquoise
,#001b55,9.551680967,10.816653826,,12,17,-38,1,0.277372263,#00125a,10,25,-45,-9.551680967,24765,darkblue,0.12888,darkblue
0.418918919,#002601,9.532015917,4.123105626,0.016564952,12,-23,17,1,0.435483871,#002300,10,-25,20,-9.532015917,25190,darkgreen,0.17943,darkgreen
0.128140704,#06f5d2,9.559968142,3.741657387,0.006005638,87,-56,3,1,0.134146341,#3cfdd7,90,-55,5,-9.559968142,24383,aqua,0.07329,aqua
0.396039604,#6d7516,10.137049563,8.246211251,0.016241098,47,-15,47,1,0.412280702,#6a7000,45,-15,55,-10.137049563,30913,olive,0.16692,olive
0.417142857,#001942,9.403833140,3.162277660,0.013891626,9,8,-30,1,0.431034483,#001c45,10,5,-30,-9.403833140,21669,navyblue,0.169,navyblue
0.272357724,#cdaaf2,10.401108949,6.480740698,0.001023571,75,26,-31,1,0.273381295,#d5b9ff,80,25,-35,-10.401108949,31029,lavender,0.12099,lavender
0.136194030,#cc0094,9.836705713,4.472135955,0.004346511,45,78,-24,1,0.140540541,#d1008e,45,80,-20,-9.836705713,23718,fuchsia,0.07546,fuchsia
0.903225806,#010500,8.668571808,3,0,1,-2,2,1,0.903225806,#000000,0,0,0,-8.668571808,13953,black,0.39978,black
0.108019640,#000494,9.189560469,5.099019514,0.008014115,16,51,-72,1,0.116033755,#000096,15,55,-75,-9.189560469,16022,royalblue,0.05698,royalblue
0.084179971,#9327ef,10.893800263,5.196152423,0.001267292,44,75,-79,1,0.085447263,#9d1cf4,45,80,-80,-10.893800263,34281,violet,0.05444,violet
0.216027875,#ff0077,8.882856448,5,0.002722125,55,85,10,1,0.21875,#ff006e,55,85,15,-8.882856448,14869,hotpink,0.09665,hotpink
